iter	Passed	Remaining
0	1	1729
1	3	1617
2	4	1618
3	6	1602
4	8	1600
5	9	1594
6	11	1601
7	13	1625
8	14	1625
9	16	1617
10	17	1607
11	19	1608
12	21	1621
13	22	1618
14	24	1625
15	26	1622
16	27	1618
17	29	1614
18	31	1613
19	32	1609
20	34	1611
21	36	1607
22	37	1608
23	39	1610
24	41	1607
25	42	1602
26	44	1603
27	46	1602
28	47	1602
29	49	1599
30	51	1595
31	52	1591
32	54	1597
33	56	1592
34	57	1587
35	59	1590
36	61	1594
37	62	1594
38	64	1596
39	66	1597
40	68	1591
41	69	1589
42	71	1599
43	74	1615
44	76	1615
45	77	1611
46	79	1608
47	81	1607
48	82	1606
49	84	1603
50	86	1601
51	87	1598
52	89	1596
53	90	1592
54	92	1588
55	94	1587
56	95	1583
57	97	1582
58	99	1579
59	100	1576
60	102	1573
61	103	1573
62	105	1572
63	107	1571
64	109	1575
65	111	1573
66	112	1571
67	114	1570
68	116	1566
69	117	1564
70	119	1562
71	121	1560
72	123	1562
73	124	1559
74	126	1555
75	127	1553
76	129	1550
77	131	1551
78	132	1549
79	134	1548
80	136	1549
81	138	1546
82	139	1545
83	146	1595
84	148	1594
85	149	1591
86	151	1588
87	153	1586
88	154	1585
89	156	1582
90	158	1578
91	159	1578
92	161	1576
93	163	1572
94	164	1570
95	166	1567
96	168	1565
97	169	1563
98	171	1562
99	173	1560
100	174	1557
101	176	1553
102	178	1552
103	180	1552
104	181	1550
105	183	1548
106	185	1546
107	187	1546
108	189	1545
109	190	1543
110	192	1540
111	194	1538
112	195	1536
113	197	1534
114	198	1531
115	200	1529
116	202	1527
117	204	1528
118	206	1526
119	207	1524
120	209	1521
121	211	1519
122	212	1516
123	214	1514
124	216	1512
125	217	1510
126	221	1519
127	222	1518
128	224	1515
129	226	1513
130	227	1511
131	229	1509
132	231	1507
133	232	1505
134	234	1503
135	236	1504
136	238	1502
137	240	1500
138	241	1497
139	243	1495
140	245	1493
141	246	1492
142	248	1489
143	250	1486
144	253	1492
145	255	1492
146	256	1488
147	258	1486
148	259	1484
149	261	1481
150	263	1479
151	264	1476
152	266	1474
153	267	1471
154	269	1469
155	272	1471
156	273	1469
157	275	1468
158	277	1465
159	278	1463
160	280	1462
161	282	1460
162	283	1458
163	285	1455
164	287	1453
165	289	1452
166	290	1449
167	292	1447
168	293	1445
169	295	1443
170	297	1441
171	298	1439
172	300	1437
173	302	1434
174	304	1436
175	306	1435
176	308	1432
177	310	1431
178	311	1429
179	313	1427
180	314	1425
181	316	1422
182	318	1421
183	319	1418
184	321	1416
185	323	1413
186	325	1413
187	326	1410
188	328	1408
189	329	1406
190	331	1404
191	333	1401
192	334	1400
193	336	1397
194	338	1395
195	339	1393
196	341	1390
197	342	1388
198	344	1387
199	346	1385
200	347	1383
201	349	1380
202	351	1379
203	353	1377
204	354	1375
205	356	1374
206	358	1372
207	359	1370
208	361	1368
209	363	1365
210	364	1364
211	367	1364
212	368	1362
213	370	1360
214	372	1358
215	373	1355
216	375	1354
217	376	1352
218	378	1350
219	380	1347
220	381	1345
221	383	1344
222	385	1342
223	386	1340
224	388	1338
225	390	1336
226	391	1334
227	393	1332
228	395	1330
229	396	1328
230	398	1326
231	400	1324
232	401	1322
233	403	1320
234	405	1318
235	406	1317
236	409	1316
237	410	1315
238	412	1313
239	414	1311
240	415	1309
241	417	1307
242	419	1305
243	421	1304
244	422	1303
245	424	1301
246	426	1299
247	427	1297
248	429	1295
249	431	1293
250	432	1291
251	434	1291
252	436	1289
253	438	1287
254	440	1286
255	442	1284
256	443	1282
257	445	1280
258	447	1278
259	448	1276
260	450	1275
261	452	1273
262	454	1274
263	456	1272
264	458	1270
265	459	1268
266	461	1267
267	463	1265
268	464	1263
269	466	1261
270	468	1259
271	470	1258
272	471	1256
273	473	1254
274	475	1252
275	476	1250
276	478	1248
277	479	1246
278	481	1244
279	483	1242
280	484	1240
281	487	1240
282	488	1237
283	490	1235
284	491	1234
285	493	1231
286	495	1230
287	496	1227
288	498	1225
289	500	1224
290	501	1222
291	503	1220
292	504	1218
293	506	1216
294	508	1214
295	510	1214
296	512	1212
297	513	1210
298	515	1208
299	517	1208
300	519	1206
301	521	1205
302	523	1203
303	525	1202
304	526	1200
305	528	1199
306	530	1197
307	533	1198
308	535	1197
309	537	1196
310	539	1194
311	540	1192
312	542	1190
313	544	1188
314	545	1187
315	547	1185
316	549	1183
317	551	1182
318	552	1180
319	554	1177
320	555	1175
321	557	1173
322	559	1172
323	560	1170
324	562	1168
325	564	1167
326	566	1165
327	568	1164
328	570	1162
329	571	1161
330	573	1160
331	575	1158
332	577	1157
333	579	1155
334	583	1158
335	585	1157
336	587	1155
337	589	1153
338	590	1152
339	592	1150
340	594	1149
341	596	1147
342	598	1146
343	600	1144
344	602	1143
345	603	1141
346	606	1140
347	608	1139
348	609	1137
349	611	1135
350	613	1134
351	616	1134
352	618	1132
353	620	1131
354	621	1129
355	623	1127
356	624	1125
357	626	1123
358	628	1121
359	629	1119
360	632	1118
361	633	1117
362	636	1116
363	638	1114
364	639	1112
365	641	1110
366	643	1109
367	644	1107
368	646	1105
369	648	1103
370	650	1102
371	651	1100
372	653	1098
373	655	1096
374	657	1095
375	658	1093
376	660	1091
377	662	1090
378	664	1088
379	666	1087
380	667	1085
381	669	1083
382	671	1081
383	672	1079
384	674	1077
385	676	1075
386	678	1074
387	679	1072
388	681	1070
389	683	1068
390	684	1066
391	686	1064
392	688	1062
393	689	1060
394	691	1058
395	693	1057
396	694	1055
397	697	1054
398	699	1053
399	701	1052
400	703	1050
401	704	1048
402	706	1046
403	708	1044
404	709	1042
405	711	1040
406	713	1039
407	714	1037
408	716	1035
409	718	1034
410	720	1032
411	721	1030
412	723	1028
413	725	1026
414	727	1024
415	728	1022
416	732	1023
417	734	1022
418	736	1020
419	737	1018
420	739	1017
421	741	1015
422	743	1013
423	744	1011
424	746	1009
425	748	1008
426	749	1006
427	751	1004
428	753	1002
429	754	1000
430	756	998
431	758	997
432	759	995
433	761	993
434	763	991
435	765	989
436	766	987
437	768	986
438	770	983
439	771	982
440	773	980
441	775	978
442	776	976
443	781	978
444	783	977
445	785	975
446	787	973
447	789	972
448	790	970
449	792	969
450	794	967
451	796	965
452	798	964
453	800	962
454	801	960
455	803	958
456	805	957
457	807	955
458	809	953
459	810	951
460	812	950
461	814	948
462	816	946
463	818	945
464	819	943
465	821	941
466	823	939
467	824	937
468	826	936
469	828	934
470	830	932
471	832	930
472	833	928
473	835	927
474	837	925
475	838	923
476	840	921
477	842	919
478	843	917
479	847	917
480	848	915
481	850	913
482	851	911
483	853	910
484	855	908
485	856	906
486	858	904
487	859	902
488	861	900
489	863	898
490	865	897
491	867	895
492	868	893
493	870	891
494	871	889
495	873	887
496	875	885
497	877	884
498	879	882
499	880	880
500	882	879
501	884	877
502	885	875
503	887	873
504	889	871
505	890	869
506	892	867
507	894	866
508	897	865
509	898	863
510	900	861
511	902	859
512	903	858
513	905	856
514	907	854
515	909	852
516	910	850
517	912	848
518	914	847
519	915	845
520	917	843
521	919	841
522	920	839
523	922	838
524	924	836
525	925	834
526	927	832
527	929	830
528	931	829
529	933	827
530	934	825
531	936	823
532	938	822
533	939	820
534	941	818
535	943	816
536	944	814
537	946	812
538	948	810
539	949	809
540	951	807
541	953	805
542	954	803
543	956	801
544	958	799
545	959	797
546	961	796
547	963	794
548	965	792
549	966	791
550	968	789
551	970	787
552	971	785
553	973	783
554	975	781
555	976	780
556	978	778
557	980	776
558	982	774
559	983	773
560	985	771
561	987	769
562	989	768
563	991	766
564	993	764
565	994	762
566	996	760
567	998	759
568	999	757
569	1001	755
570	1003	753
571	1004	751
572	1006	749
573	1007	748
574	1009	746
575	1011	744
576	1013	742
577	1015	741
578	1016	739
579	1018	737
580	1019	735
581	1021	733
582	1023	732
583	1025	730
584	1026	728
585	1029	727
586	1030	725
587	1032	723
588	1034	721
589	1036	719
590	1037	718
591	1039	716
592	1041	714
593	1043	713
594	1045	711
595	1047	709
596	1049	708
597	1050	706
598	1052	704
599	1054	702
600	1055	700
601	1057	699
602	1059	697
603	1060	695
604	1062	693
605	1064	691
606	1065	690
607	1067	688
608	1069	686
609	1071	684
610	1072	683
611	1074	681
612	1076	679
613	1077	677
614	1079	675
615	1081	674
616	1083	672
617	1084	670
618	1086	668
619	1088	666
620	1089	665
621	1091	663
622	1097	664
623	1099	662
624	1101	660
625	1102	658
626	1104	657
627	1106	655
628	1108	653
629	1110	652
630	1111	650
631	1113	648
632	1115	646
633	1117	644
634	1118	643
635	1120	641
636	1122	639
637	1124	637
638	1126	636
639	1127	634
640	1129	632
641	1130	630
642	1132	628
643	1134	626
644	1136	625
645	1138	623
646	1139	621
647	1141	619
648	1143	618
649	1144	616
650	1146	614
651	1148	612
652	1149	611
653	1151	609
654	1153	607
655	1154	605
656	1156	603
657	1157	601
658	1159	599
659	1161	598
660	1162	596
661	1164	594
662	1166	592
663	1167	590
664	1169	589
665	1171	587
666	1172	585
667	1174	583
668	1176	581
669	1177	580
670	1179	578
671	1181	576
672	1182	574
673	1184	572
674	1185	570
675	1187	569
676	1188	567
677	1190	565
678	1192	563
679	1194	562
680	1196	560
681	1197	558
682	1199	556
683	1201	554
684	1202	553
685	1204	551
686	1205	549
687	1207	547
688	1209	545
689	1211	544
690	1212	542
691	1214	540
692	1215	538
693	1217	536
694	1219	535
695	1220	533
696	1222	531
697	1224	529
698	1225	527
699	1227	526
700	1229	524
701	1230	522
702	1232	520
703	1233	518
704	1235	516
705	1237	515
706	1238	513
707	1240	511
708	1242	509
709	1244	508
710	1245	506
711	1247	504
712	1249	502
713	1251	501
714	1252	499
715	1254	497
716	1255	495
717	1257	493
718	1259	492
719	1261	490
720	1262	488
721	1264	486
722	1265	485
723	1267	483
724	1269	481
725	1270	479
726	1272	477
727	1274	476
728	1275	474
729	1277	472
